run,生成モデル,VLM図表化,group,n,正答数,正答率_pct,数値target_n,正解数値一致率_pct,正答時_正解数値一致率_pct,誤答時_正解数値一致率_pct,引用マーカーあり率_pct,根拠語あり率_pct,棄権率_pct,平均回答長,平均数値出現数
r1,gpt-oss-20b,なし,paragraph,142,128,90.1,83,82.5,89.6,35.6,0.0,18.3,2.1,823,11.2
r1,gpt-oss-20b,なし,table,82,69,84.1,56,77.1,85.8,36.7,0.0,4.9,3.7,525,10.1
r1,gpt-oss-20b,なし,image,76,38,50.0,47,53.9,96.1,22.6,0.0,5.3,15.8,529,9.3
r1,gpt-oss-20b,なし,ALL,300,235,78.3,186,73.6,89.3,28.5,0.0,11.3,6.0,667,10.4
r2,gpt-oss-20b,あり,paragraph,142,123,86.6,83,80.8,86.0,57.2,0.0,17.6,1.4,822,10.1
r2,gpt-oss-20b,あり,table,82,69,84.1,56,73.4,85.2,25.3,0.0,4.9,1.2,531,9.6
r2,gpt-oss-20b,あり,image,76,55,72.4,47,74.3,92.5,39.0,0.0,10.5,5.3,586,10.8
r2,gpt-oss-20b,あり,ALL,300,247,82.3,186,76.9,87.1,41.9,0.0,12.3,2.3,683,10.2
r3,qwen3.6-35b,なし,paragraph,142,129,90.8,83,84.8,89.3,48.3,0.0,4.9,2.8,565,8.3
r3,qwen3.6-35b,なし,table,82,72,87.8,56,79.3,84.3,49.5,0.0,8.5,8.5,390,8.5
r3,qwen3.6-35b,なし,image,76,39,51.3,47,58.6,94.4,29.7,0.0,6.6,31.6,375,7.8
r3,qwen3.6-35b,なし,ALL,300,240,80.0,186,76.5,88.4,37.3,0.0,6.3,11.7,469,8.2
r4,qwen3.6-35b,あり,paragraph,142,133,93.7,83,84.0,86.0,58.3,0.0,6.3,2.8,570,8.1
r4,qwen3.6-35b,あり,table,82,67,81.7,56,77.2,83.6,53.5,0.0,2.4,6.1,368,8.3
r4,qwen3.6-35b,あり,image,76,56,73.7,47,77.8,90.6,50.6,0.0,7.9,17.1,392,9.1
r4,qwen3.6-35b,あり,ALL,300,256,85.3,186,80.4,86.3,53.1,0.0,5.7,7.3,470,8.4
